Dataset,Scenario,Accuracy,Recall,F1,ROC-AUC,Model
AI Snapshot (v2025.12.10),baseline,0.985200845665962,0.9421487603305784,0.9702127659574468,1.0,
AI Snapshot (v2025.12.10),Remove length,0.985200845665962,0.9421487603305784,0.9702127659574468,0.9922755447032306,
AI Snapshot (v2025.12.10),Remove punctuation,0.8710359408033826,0.7024793388429752,0.7359307359307359,0.9155475206611572,
AI Snapshot (v2025.12.10),Remove security flags,0.985200845665962,0.9421487603305784,0.9702127659574468,1.0,
AI Snapshot (v2025.12.10),Remove ai endpoint,0.985200845665962,0.9421487603305784,0.9702127659574468,1.0,
Public Millions (v2025.public_millions),baseline,0.9998484231268414,0.9971207486053626,0.9985582987925753,0.9998386685711715,logistic_l1
Public Millions (v2025.public_millions),baseline,0.9999857896681413,0.9997300701817528,0.9998650168728909,0.9998477818517186,random_forest
Public Millions (v2025.public_millions),minus_length,0.9932595659217295,0.8822206226381141,0.9323444111634098,0.9741955178153682,logistic_l1
Public Millions (v2025.public_millions),minus_length,0.99387061019165,0.8835702717293503,0.9381866819528041,0.9834583293593666,random_forest
Public Millions (v2025.public_millions),minus_punctuation,0.9998815805678448,0.9977505848479395,0.9988740260325182,0.998539505803491,logistic_l1
Public Millions (v2025.public_millions),minus_punctuation,0.9999810528908551,0.9996400935756703,0.999820014398848,0.9998894239247795,random_forest
Public Millions (v2025.public_millions),minus_security_flags,0.9966653087905113,0.9777757782976426,0.9686246546037971,0.9991606804480836,logistic_l1
Public Millions (v2025.public_millions),minus_security_flags,0.9999857896681413,0.9997300701817528,0.9998650168728909,0.9998477865754904,random_forest
Public Millions (v2025.public_millions),minus_ai_endpoint,0.9999289483407069,0.9986503509087638,0.9993247197586999,0.9998912594475436,logistic_l1
Public Millions (v2025.public_millions),minus_ai_endpoint,0.9999857896681413,0.9997300701817528,0.9998650168728909,0.9998477832013677,random_forest
